Weight,City,State,Temperature,Season,Income_Level,Stress_Level,Sleep_Hours,Work_Life_Balance,Context,Recommended_Food
71,Nagpur,Maharashtra,35,Autumn,Medium,High,7,Good,Rural,Roti with Dal Tadka
65,Ludhiana,Punjab,15,Winter,Medium,Low,5,Poor,Rural,Sprout Salad
58,Agra,Uttar Pradesh,20,Autumn,High,Medium,5,Poor,Rural,Roti with Dal Tadka
93,Bangalore,Karnataka,10,Autumn,High,Low,8,Poor,Urban,Oats Idli
99,Indore,Madhya Pradesh,41,Winter,Medium,Medium,4,Average,Urban,Paneer Butter Masala
75,Chandigarh,Chandigarh,41,Winter,Medium,Medium,4,Average,Rural,Sarson ka Saag with Makki di Roti
100,Chennai,Tamil Nadu,40,Summer,Medium,Low,5,Poor,Rural,Quinoa Upma
54,Ludhiana,Punjab,27,Autumn,Low,Low,4,Average,Rural,Vegetable Pulao
96,Patna,Bihar,41,Monsoon,High,Medium,5,Good,Rural,Corn on the Cob (Bhutta)
84,Guwahati,Assam,37,Autumn,High,High,6,Average,Rural,Moong Dal Khichdi
72,Kolkata,West Bengal,22,Winter,High,Low,9,Good,Rural,Tandoori Chicken Salad
82,Mumbai,Maharashtra,30,Monsoon,High,Medium,4,Good,Rural,Corn on the Cob (Bhutta)
89,Lucknow,Uttar Pradesh,16,Summer,High,High,5,Average,Urban,Kadai Paneer
73,Bhopal,Madhya Pradesh,11,Summer,Low,Medium,9,Excellent,Urban,Kulfi
59,Srinagar,Jammu and Kashmir,31,Winter,Medium,High,8,Good,Urban,Moong Dal Khichdi
85,Kolkata,West Bengal,17,Autumn,Medium,High,8,Good,Rural,Kadai Paneer
85,Surat,Gujarat,19,Winter,Low,High,9,Average,Urban,Mutton Rogan Josh
83,Pune,Maharashtra,18,Autumn,Medium,Medium,9,Excellent,Rural,Paneer Butter Masala
64,Chennai,Tamil Nadu,20,Monsoon,High,Low,4,Poor,Rural,Sprout Salad
53,Indore,Madhya Pradesh,35,Winter,Low,Medium,6,Good,Urban,Dal Makhani
83,Kochi,Kerala,20,Summer,High,Medium,5,Poor,Rural,Aloo Gobi
76,Srinagar,Jammu and Kashmir,14,Summer,High,High,4,Excellent,Rural,Roti with Dal Tadka
62,Srinagar,Jammu and Kashmir,20,Summer,Low,Medium,7,Average,Rural,Curd Rice
77,Chandigarh,Chandigarh,40,Winter,High,Low,6,Excellent,Urban,Dal Makhani
97,Guwahati,Assam,32,Autumn,High,Low,7,Poor,Urban,Sprout Salad
73,Varanasi,Uttar Pradesh,25,Autumn,Medium,High,5,Poor,Urban,Vegetable Pulao
50,Ludhiana,Punjab,21,Winter,Low,Low,8,Average,Urban,Quinoa Upma
70,Pune,Maharashtra,37,Monsoon,Medium,High,8,Excellent,Rural,Rajma Chawal
62,Surat,Gujarat,20,Autumn,High,Medium,4,Good,Rural,Roti with Dal Tadka
68,Lucknow,Uttar Pradesh,28,Summer,Medium,High,5,Poor,Rural,Rajma Chawal
73,Jaipur,Rajasthan,32,Monsoon,Low,Medium,4,Good,Rural,Chole Bhature
98,Delhi,Delhi,29,Summer,Low,High,4,Average,Rural,Paneer Butter Masala
50,Agra,Uttar Pradesh,31,Summer,Low,Medium,5,Excellent,Rural,Kulfi
